2026-06-03 00:00:11 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:00:39 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:01:10 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:01:40 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:02:11 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:02:41 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:03:12 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:03:42 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:04:12 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:04:43 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:05:13 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:05:44 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:06:14 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:06:44 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:07:15 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:07:45 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:08:16 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:08:46 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:09:17 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:09:47 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:10:17 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:10:48 | DEBUG    | ob_detector | OBs detected: 30 total | 15 active (2 bull / 13 bear)
2026-06-03 00:11:18 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:11:49 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:12:19 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:12:51 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:13:20 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:13:50 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:14:21 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:14:51 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:15:21 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:15:51 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:16:22 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:16:52 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:17:22 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:17:53 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:18:23 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:18:54 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:19:24 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:19:54 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:20:25 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:20:55 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:21:26 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:21:56 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:22:27 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:22:57 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:23:27 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:23:58 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:24:28 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:24:58 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:25:29 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:25:59 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:26:30 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:27:00 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:27:30 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:28:00 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:28:31 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:29:02 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:29:32 | DEBUG    | ob_detector | OBs detected: 30 total | 14 active (2 bull / 12 bear)
2026-06-03 00:30:04 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:30:32 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:31:03 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:31:33 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:32:03 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:32:33 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:33:04 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:33:34 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:34:05 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:34:35 | DEBUG    | ob_detector | OBs detected: 31 total | 15 active (3 bull / 12 bear)
2026-06-03 00:35:05 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:35:36 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:36:06 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:36:37 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:37:07 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:37:38 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:38:08 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:38:38 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:39:09 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:39:39 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:40:10 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:40:40 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:41:10 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:41:41 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 00:42:11 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (7 bull / 9 bear)
2026-06-03 00:42:42 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:43:12 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (6 bull / 9 bear)
2026-06-03 00:43:43 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:44:13 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:44:43 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:45:14 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:45:44 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:46:15 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:46:45 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:47:16 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:47:46 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:48:16 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:48:47 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:49:17 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:49:48 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:50:18 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:50:49 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:51:19 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:51:49 | DEBUG    | ob_detector | OBs detected: 32 total | 14 active (5 bull / 9 bear)
2026-06-03 00:52:20 | DEBUG    | ob_detector | OBs detected: 32 total | 15 active (5 bull / 10 bear)
2026-06-03 00:52:50 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:53:21 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
2026-06-03 00:53:51 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:54:21 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:54:52 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:55:22 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:55:53 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (4 bull / 12 bear)
2026-06-03 00:56:23 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:56:54 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:57:24 | DEBUG    | ob_detector | OBs detected: 32 total | 17 active (5 bull / 12 bear)
2026-06-03 00:57:54 | DEBUG    | ob_detector | OBs detected: 32 total | 16 active (5 bull / 11 bear)
